Breed,Age (Years),Weight (kg),Color,Gender,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking
vizsla,12,39,Gray,Male,12,14,24.0,24.0,60.0,55.0,22.0,22.0,55.0,44.0,5,4,3,2,2,1,4,5,3,5,5,3
cavalier king charles spaniel,12,38,Tricolor,Male,12,15,13.0,13.0,18.0,18.0,12.0,12.0,13.0,13.0,5,5,2,2,2,1,4,3,3,4,3,3
rottweiler,8,14,Gray,Male,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
maltese,14,32,Tan,Female,12,15,9.0,9.0,8.8,8.8,7.0,7.0,6.6,6.6,3,3,1,4,1,1,3,3,4,3,3,3
maltese,12,28,Blue,Male,12,15,9.0,9.0,8.8,8.8,7.0,7.0,6.6,6.6,3,3,1,4,1,1,3,3,4,3,3,3
australian shepherd,12,56,Red,Male,12,15,23.0,23.0,65.0,55.0,20.0,20.0,50.0,40.0,5,3,3,2,1,1,3,4,3,5,5,3
dachshund,11,41,Tricolor,Female,12,16,9.0,9.0,32.0,32.0,8.0,8.0,16.0,16.0,3,4,2,2,2,2,4,4,4,4,3,5
cocker spaniel,1,53,Merle,Female,10,14,15.5,15.5,30.0,25.0,14.5,14.5,25.0,20.0,5,5,3,4,2,1,4,3,3,4,4,3
shih tzu,2,38,Brown,Male,10,18,10.5,10.5,16.0,16.0,9.0,9.0,9.0,9.0,5,5,1,4,1,1,3,3,3,4,3,3
bull terrier,13,16,Bicolor,Female,12,13,22.0,22.0,70.0,70.0,21.0,21.0,50.0,50.0,3,1,3,2,1,1,4,4,3,3,4,3
vizsla,3,50,Blue,Male,12,14,24.0,24.0,60.0,55.0,22.0,22.0,55.0,44.0,5,4,3,2,2,1,4,5,3,5,5,3
bull terrier,11,13,Merle,Female,12,13,22.0,22.0,70.0,70.0,21.0,21.0,50.0,50.0,3,1,3,2,1,1,4,4,3,3,4,3
rottweiler,13,51,Brown,Female,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
maltese,11,34,Bicolor,Female,12,15,9.0,9.0,8.8,8.8,7.0,7.0,6.6,6.6,3,3,1,4,1,1,3,3,4,3,3,3
shiba inu,11,38,Brindle,Male,13,16,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,3,3,3,2,1,1,3,3,5,2,3,3
bull terrier,9,19,Bicolor,Female,12,13,22.0,22.0,70.0,70.0,21.0,21.0,50.0,50.0,3,1,3,2,1,1,4,4,3,3,4,3
papillon,8,35,White,Female,14,16,11.0,11.0,10.0,10.0,8.0,8.0,5.0,5.0,5,3,3,2,1,1,5,5,4,5,4,5
basenji,14,51,Black and White,Female,13,14,17.0,17.0,24.0,22.0,17.0,17.0,24.0,22.0,3,3,2,1,1,1,3,3,3,2,4,1
papillon,10,28,Bicolor,Male,14,16,11.0,11.0,10.0,10.0,8.0,8.0,5.0,5.0,5,3,3,2,1,1,5,5,4,5,4,5
west highland white terrier,13,26,Black and Tan,Female,13,15,11.0,11.0,20.0,20.0,11.0,11.0,15.0,15.0,5,3,3,3,1,1,4,5,5,3,4,5
pug,1,7,Sable,Male,13,15,13.0,13.0,18.0,18.0,10.0,10.0,14.0,14.0,5,4,4,2,1,1,5,5,3,4,3,1
papillon,1,31,White,Female,14,16,11.0,11.0,10.0,10.0,8.0,8.0,5.0,5.0,5,3,3,2,1,1,5,5,4,5,4,5
border collie,12,41,Blue,Female,12,15,22.0,22.0,55.0,55.0,19.0,19.0,30.0,30.0,3,3,3,3,1,1,4,5,3,5,5,4
basenji,13,51,Brindle,Female,13,14,17.0,17.0,24.0,22.0,17.0,17.0,24.0,22.0,3,3,2,1,1,1,3,3,3,2,4,1
pug,1,14,Merle,Male,13,15,13.0,13.0,18.0,18.0,10.0,10.0,14.0,14.0,5,4,4,2,1,1,5,5,3,4,3,1
irish setter,13,6,Tricolor,Female,12,15,27.0,27.0,70.0,60.0,27.0,27.0,70.0,60.0,5,5,3,3,2,1,5,5,3,4,5,3
shiba inu,14,8,Black and White,Male,13,16,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,3,3,3,2,1,1,3,3,5,2,3,3
cavalier king charles spaniel,3,22,Tan,Male,12,15,13.0,13.0,18.0,18.0,12.0,12.0,13.0,13.0,5,5,2,2,2,1,4,3,3,4,3,3
boston terrier,7,6,Tan,Female,11,13,17.0,17.0,25.0,25.0,15.0,15.0,12.0,12.0,5,4,2,2,1,1,5,5,3,4,4,2
havanese,13,53,Red,Female,14,16,11.5,11.5,13.0,13.0,8.5,8.5,7.0,7.0,5,5,2,3,1,1,5,5,3,4,3,4
australian shepherd,9,35,Black and White,Male,12,15,23.0,23.0,65.0,55.0,20.0,20.0,50.0,40.0,5,3,3,2,1,1,3,4,3,5,5,3
cocker spaniel,4,38,Gray,Male,10,14,15.5,15.5,30.0,25.0,14.5,14.5,25.0,20.0,5,5,3,4,2,1,4,3,3,4,4,3
akita,14,52,Brindle,Female,10,14,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,3,1,3,3,1,1,2,3,5,3,4,2
bichon frise,8,53,Brindle,Male,14,15,11.5,11.5,18.0,18.0,9.5,9.5,12.0,12.0,5,5,1,5,1,1,5,4,2,4,4,3
samoyed,4,15,Brown,Male,12,14,23.5,23.5,65.0,50.0,21.0,21.0,45.0,35.0,5,3,3,3,1,1,5,5,4,4,4,5
akita,4,11,Tan,Female,10,14,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,3,1,3,3,1,1,2,3,5,3,4,2
doberman pinscher,6,10,Black and White,Female,10,12,28.0,28.0,100.0,90.0,26.0,26.0,75.0,60.0,5,3,4,1,2,1,4,4,5,5,5,3
havanese,6,47,Blue,Female,14,16,11.5,11.5,13.0,13.0,8.5,8.5,7.0,7.0,5,5,2,3,1,1,5,5,3,4,3,4
bichon frise,14,11,Brindle,Male,14,15,11.5,11.5,18.0,18.0,9.5,9.5,12.0,12.0,5,5,1,5,1,1,5,4,2,4,4,3
shih tzu,5,46,Merle,Male,10,18,10.5,10.5,16.0,16.0,9.0,9.0,9.0,9.0,5,5,1,4,1,1,3,3,3,4,3,3
havanese,11,10,Bicolor,Female,14,16,11.5,11.5,13.0,13.0,8.5,8.5,7.0,7.0,5,5,2,3,1,1,5,5,3,4,3,4
cavalier king charles spaniel,10,35,Gray,Female,12,15,13.0,13.0,18.0,18.0,12.0,12.0,13.0,13.0,5,5,2,2,2,1,4,3,3,4,3,3
bull terrier,14,22,Merle,Male,12,13,22.0,22.0,70.0,70.0,21.0,21.0,50.0,50.0,3,1,3,2,1,1,4,4,3,3,4,3
rottweiler,14,8,Sable,Female,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
akita,9,20,Brown,Male,10,14,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,3,1,3,3,1,1,2,3,5,3,4,2
great dane,6,43,Blue,Female,7,10,32.0,32.0,175.0,140.0,30.0,30.0,140.0,110.0,3,3,3,1,4,1,3,4,5,3,4,3
papillon,8,51,Sable,Female,14,16,11.0,11.0,10.0,10.0,8.0,8.0,5.0,5.0,5,3,3,2,1,1,5,5,4,5,4,5
shetland sheepdog,5,11,Tricolor,Female,12,14,16.0,16.0,25.0,25.0,13.0,13.0,15.0,15.0,5,5,3,3,1,1,2,5,5,5,4,5
yorkshire terrier,8,34,Brindle,Female,11,15,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,5,3,1,5,1,1,5,4,5,4,4,4
whippet,9,27,Brindle,Female,12,15,22.0,22.0,40.0,40.0,19.0,19.0,25.0,25.0,5,5,2,1,1,1,3,4,3,3,4,1
bernese mountain dog,4,53,Blue,Male,7,10,27.5,27.5,115.0,95.0,25.0,25.0,80.0,70.0,5,5,5,3,3,1,4,4,3,4,4,3
rottweiler,12,12,Merle,Male,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
rottweiler,10,24,Red,Female,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
bernese mountain dog,6,56,Blue,Male,7,10,27.5,27.5,115.0,95.0,25.0,25.0,80.0,70.0,5,5,5,3,3,1,4,4,3,4,4,3
shih tzu,12,35,Black and Tan,Male,10,18,10.5,10.5,16.0,16.0,9.0,9.0,9.0,9.0,5,5,1,4,1,1,3,3,3,4,3,3
whippet,4,20,Red,Male,12,15,22.0,22.0,40.0,40.0,19.0,19.0,25.0,25.0,5,5,2,1,1,1,3,4,3,3,4,1
bichon frise,1,52,Black,Female,14,15,11.5,11.5,18.0,18.0,9.5,9.5,12.0,12.0,5,5,1,5,1,1,5,4,2,4,4,3
shiba inu,14,28,Blue,Male,13,16,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,3,3,3,2,1,1,3,3,5,2,3,3
alaskan malamute,6,35,Spotted,Male,10,14,25.0,25.0,85.0,75.0,25.0,25.0,85.0,75.0,3,3,3,3,1,1,3,3,4,5,4,3
cocker spaniel,2,24,Black and Tan,Female,10,14,15.5,15.5,30.0,25.0,14.5,14.5,25.0,20.0,5,5,3,4,2,1,4,3,3,4,4,3
akita,6,13,Sable,Male,10,14,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,3,1,3,3,1,1,2,3,5,3,4,2
samoyed,12,18,Spotted,Male,12,14,23.5,23.5,65.0,50.0,21.0,21.0,45.0,35.0,5,3,3,3,1,1,5,5,4,4,4,5
pug,2,43,Blue,Male,13,15,13.0,13.0,18.0,18.0,10.0,10.0,14.0,14.0,5,4,4,2,1,1,5,5,3,4,3,1
west highland white terrier,12,47,Bicolor,Female,13,15,11.0,11.0,20.0,20.0,11.0,11.0,15.0,15.0,5,3,3,3,1,1,4,5,5,3,4,5
alaskan malamute,8,56,Tan,Male,10,14,25.0,25.0,85.0,75.0,25.0,25.0,85.0,75.0,3,3,3,3,1,1,3,3,4,5,4,3
french bulldog,10,9,Spotted,Female,10,12,13.0,13.0,28.0,26.0,11.0,11.0,20.0,18.0,5,4,3,1,3,1,5,5,3,4,3,1
yorkshire terrier,12,43,Brown,Male,11,15,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,5,3,1,5,1,1,5,4,5,4,4,4
cocker spaniel,4,10,Black and Tan,Female,10,14,15.5,15.5,30.0,25.0,14.5,14.5,25.0,20.0,5,5,3,4,2,1,4,3,3,4,4,3
irish setter,6,58,Black and White,Male,12,15,27.0,27.0,70.0,60.0,27.0,27.0,70.0,60.0,5,5,3,3,2,1,5,5,3,4,5,3
labrador retriever,3,51,Sable,Female,10,12,24.5,24.5,80.0,70.0,22.5,22.5,65.0,55.0,5,5,4,2,2,1,5,5,3,5,5,3
papillon,7,55,Black and White,Female,14,16,11.0,11.0,10.0,10.0,8.0,8.0,5.0,5.0,5,3,3,2,1,1,5,5,4,5,4,5
boston terrier,13,38,Brindle,Male,11,13,17.0,17.0,25.0,25.0,15.0,15.0,12.0,12.0,5,4,2,2,1,1,5,5,3,4,4,2
shiba inu,4,29,Red,Male,13,16,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,3,3,3,2,1,1,3,3,5,2,3,3
akita,14,49,Red,Male,10,14,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,3,1,3,3,1,1,2,3,5,3,4,2
alaskan malamute,9,33,Cream,Female,10,14,25.0,25.0,85.0,75.0,25.0,25.0,85.0,75.0,3,3,3,3,1,1,3,3,4,5,4,3
shetland sheepdog,5,49,Tan,Male,12,14,16.0,16.0,25.0,25.0,13.0,13.0,15.0,15.0,5,5,3,3,1,1,2,5,5,5,4,5
maltese,9,19,Black and Tan,Female,12,15,9.0,9.0,8.8,8.8,7.0,7.0,6.6,6.6,3,3,1,4,1,1,3,3,4,3,3,3
golden retriever,1,55,Brown,Female,10,12,24.0,24.0,75.0,65.0,23.0,23.0,65.0,55.0,5,5,4,2,2,1,5,4,3,5,3,1
rottweiler,9,57,Merle,Female,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
pembroke welsh corgi,5,46,Black and White,Male,12,13,12.0,12.0,31.0,28.0,10.0,10.0,24.0,24.0,3,4,4,2,1,1,4,4,5,4,4,4
chinese shar-pei,1,22,Gray,Male,8,12,20.0,20.0,60.0,60.0,18.0,18.0,45.0,45.0,3,3,3,1,3,1,3,3,4,3,3,3
great dane,6,20,Spotted,Male,7,10,32.0,32.0,175.0,140.0,30.0,30.0,140.0,110.0,3,3,3,1,4,1,3,4,5,3,4,3
pug,5,17,Merle,Female,13,15,13.0,13.0,18.0,18.0,10.0,10.0,14.0,14.0,5,4,4,2,1,1,5,5,3,4,3,1
whippet,14,43,White,Male,12,15,22.0,22.0,40.0,40.0,19.0,19.0,25.0,25.0,5,5,2,1,1,1,3,4,3,3,4,1
chihuahua,9,35,White,Female,14,16,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,1,3,2,1,1,2,2,4,4,3,4,5
shetland sheepdog,12,39,Black,Female,12,14,16.0,16.0,25.0,25.0,13.0,13.0,15.0,15.0,5,5,3,3,1,1,2,5,5,5,4,5
west highland white terrier,9,46,Spotted,Female,13,15,11.0,11.0,20.0,20.0,11.0,11.0,15.0,15.0,5,3,3,3,1,1,4,5,5,3,4,5
golden retriever,9,41,Black,Male,10,12,24.0,24.0,75.0,65.0,23.0,23.0,65.0,55.0,5,5,4,2,2,1,5,4,3,5,3,1
bichon frise,12,46,Brown,Male,14,15,11.5,11.5,18.0,18.0,9.5,9.5,12.0,12.0,5,5,1,5,1,1,5,4,2,4,4,3
basenji,14,16,Bicolor,Female,13,14,17.0,17.0,24.0,22.0,17.0,17.0,24.0,22.0,3,3,2,1,1,1,3,3,3,2,4,1
cocker spaniel,4,12,Tan,Female,10,14,15.5,15.5,30.0,25.0,14.5,14.5,25.0,20.0,5,5,3,4,2,1,4,3,3,4,4,3
australian shepherd,4,10,Black,Female,12,15,23.0,23.0,65.0,55.0,20.0,20.0,50.0,40.0,5,3,3,2,1,1,3,4,3,5,5,3
rottweiler,13,18,Blue,Female,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
pekingese,13,51,Brown,Female,12,14,9.0,9.0,14.0,14.0,6.0,6.0,7.0,7.0,3,3,3,3,1,1,3,4,4,3,3,1
rottweiler,6,17,Blue,Female,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
pug,8,34,Brindle,Male,13,15,13.0,13.0,18.0,18.0,10.0,10.0,14.0,14.0,5,4,4,2,1,1,5,5,3,4,3,1
maltese,14,56,Spotted,Female,12,15,9.0,9.0,8.8,8.8,7.0,7.0,6.6,6.6,3,3,1,4,1,1,3,3,4,3,3,3
chinese shar-pei,14,47,Merle,Male,8,12,20.0,20.0,60.0,60.0,18.0,18.0,45.0,45.0,3,3,3,1,3,1,3,3,4,3,3,3
west highland white terrier,9,14,Brown,Male,13,15,11.0,11.0,20.0,20.0,11.0,11.0,15.0,15.0,5,3,3,3,1,1,4,5,5,3,4,5
cocker spaniel,8,56,Bicolor,Male,10,14,15.5,15.5,30.0,25.0,14.5,14.5,25.0,20.0,5,5,3,4,2,1,4,3,3,4,4,3
doberman pinscher,10,54,Sable,Female,10,12,28.0,28.0,100.0,90.0,26.0,26.0,75.0,60.0,5,3,4,1,2,1,4,4,5,5,5,3
samoyed,1,24,Cream,Female,12,14,23.5,23.5,65.0,50.0,21.0,21.0,45.0,35.0,5,3,3,3,1,1,5,5,4,4,4,5
shiba inu,3,27,Black,Male,13,16,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,3,3,3,2,1,1,3,3,5,2,3,3
pomeranian,8,28,Spotted,Male,12,16,7.0,7.0,7.0,7.0,6.0,6.0,3.0,3.0,3,3,2,3,1,1,3,3,4,3,3,4
bloodhound,11,57,Cream,Female,10,12,27.0,27.0,110.0,100.0,25.0,25.0,90.0,80.0,3,3,3,2,5,1,3,3,2,4,3,5
boxer,13,18,Black and White,Female,10,12,25.0,25.0,80.0,65.0,23.0,23.0,65.0,50.0,5,3,2,2,3,1,4,4,4,4,4,3
siberian husky,2,36,Brindle,Female,12,14,23.5,23.5,60.0,50.0,21.0,21.0,45.0,35.0,5,5,4,2,1,1,5,5,1,3,5,5
west highland white terrier,6,21,Spotted,Female,13,15,11.0,11.0,20.0,20.0,11.0,11.0,15.0,15.0,5,3,3,3,1,1,4,5,5,3,4,5
pug,2,23,Spotted,Male,13,15,13.0,13.0,18.0,18.0,10.0,10.0,14.0,14.0,5,4,4,2,1,1,5,5,3,4,3,1
doberman pinscher,2,6,Red,Female,10,12,28.0,28.0,100.0,90.0,26.0,26.0,75.0,60.0,5,3,4,1,2,1,4,4,5,5,5,3
bernese mountain dog,5,37,Blue,Male,7,10,27.5,27.5,115.0,95.0,25.0,25.0,80.0,70.0,5,5,5,3,3,1,4,4,3,4,4,3
chihuahua,4,19,White,Female,14,16,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,1,3,2,1,1,2,2,4,4,3,4,5
samoyed,2,14,Black,Male,12,14,23.5,23.5,65.0,50.0,21.0,21.0,45.0,35.0,5,3,3,3,1,1,5,5,4,4,4,5
doberman pinscher,10,56,Black and Tan,Female,10,12,28.0,28.0,100.0,90.0,26.0,26.0,75.0,60.0,5,3,4,1,2,1,4,4,5,5,5,3
pekingese,2,52,Sable,Female,12,14,9.0,9.0,14.0,14.0,6.0,6.0,7.0,7.0,3,3,3,3,1,1,3,4,4,3,3,1
beagle,3,8,Blue,Female,10,15,16.0,15.0,20.0,30.0,14.0,13.0,15.0,20.0,5,5,3,2,1,1,3,4,2,3,4,4
great dane,9,11,Gray,Female,7,10,32.0,32.0,175.0,140.0,30.0,30.0,140.0,110.0,3,3,3,1,4,1,3,4,5,3,4,3
dachshund,2,59,Black and Tan,Female,12,16,9.0,9.0,32.0,32.0,8.0,8.0,16.0,16.0,3,4,2,2,2,2,4,4,4,4,3,5
boston terrier,10,56,Black and Tan,Male,11,13,17.0,17.0,25.0,25.0,15.0,15.0,12.0,12.0,5,4,2,2,1,1,5,5,3,4,4,2
whippet,7,15,Black and Tan,Female,12,15,22.0,22.0,40.0,40.0,19.0,19.0,25.0,25.0,5,5,2,1,1,1,3,4,3,3,4,1
whippet,6,18,Gray,Male,12,15,22.0,22.0,40.0,40.0,19.0,19.0,25.0,25.0,5,5,2,1,1,1,3,4,3,3,4,1
pomeranian,13,32,White,Male,12,16,7.0,7.0,7.0,7.0,6.0,6.0,3.0,3.0,3,3,2,3,1,1,3,3,4,3,3,4
dachshund,10,31,Tan,Male,12,16,9.0,9.0,32.0,32.0,8.0,8.0,16.0,16.0,3,4,2,2,2,2,4,4,4,4,3,5
alaskan malamute,7,46,Brindle,Female,10,14,25.0,25.0,85.0,75.0,25.0,25.0,85.0,75.0,3,3,3,3,1,1,3,3,4,5,4,3
cavalier king charles spaniel,13,9,Bicolor,Male,12,15,13.0,13.0,18.0,18.0,12.0,12.0,13.0,13.0,5,5,2,2,2,1,4,3,3,4,3,3
chihuahua,13,34,Tan,Female,14,16,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,1,3,2,1,1,2,2,4,4,3,4,5
chinese shar-pei,10,53,Red,Female,8,12,20.0,20.0,60.0,60.0,18.0,18.0,45.0,45.0,3,3,3,1,3,1,3,3,4,3,3,3
basenji,6,51,Merle,Male,13,14,17.0,17.0,24.0,22.0,17.0,17.0,24.0,22.0,3,3,2,1,1,1,3,3,3,2,4,1
rottweiler,7,32,White,Male,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
australian shepherd,14,37,Brown,Male,12,15,23.0,23.0,65.0,55.0,20.0,20.0,50.0,40.0,5,3,3,2,1,1,3,4,3,5,5,3
belgian malinois,2,50,Black and Tan,Male,14,16,26.0,26.0,80.0,60.0,24.0,24.0,60.0,40.0,3,3,3,2,1,1,3,3,4,5,4,3
papillon,6,54,Brown,Male,14,16,11.0,11.0,10.0,10.0,8.0,8.0,5.0,5.0,5,3,3,2,1,1,5,5,4,5,4,5
shiba inu,9,19,Red,Female,13,16,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,3,3,3,2,1,1,3,3,5,2,3,3
havanese,5,9,Merle,Male,14,16,11.5,11.5,13.0,13.0,8.5,8.5,7.0,7.0,5,5,2,3,1,1,5,5,3,4,3,4
chihuahua,7,30,Spotted,Male,14,16,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,1,3,2,1,1,2,2,4,4,3,4,5
akita,6,37,Sable,Male,10,14,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,3,1,3,3,1,1,2,3,5,3,4,2
pekingese,14,17,Sable,Female,12,14,9.0,9.0,14.0,14.0,6.0,6.0,7.0,7.0,3,3,3,3,1,1,3,4,4,3,3,1
chinese shar-pei,13,49,Sable,Male,8,12,20.0,20.0,60.0,60.0,18.0,18.0,45.0,45.0,3,3,3,1,3,1,3,3,4,3,3,3
bernese mountain dog,7,46,Sable,Male,7,10,27.5,27.5,115.0,95.0,25.0,25.0,80.0,70.0,5,5,5,3,3,1,4,4,3,4,4,3
labrador retriever,6,18,Black and White,Female,10,12,24.5,24.5,80.0,70.0,22.5,22.5,65.0,55.0,5,5,4,2,2,1,5,5,3,5,5,3
border collie,7,57,Cream,Male,12,15,22.0,22.0,55.0,55.0,19.0,19.0,30.0,30.0,3,3,3,3,1,1,4,5,3,5,5,4
boston terrier,3,55,Black,Male,11,13,17.0,17.0,25.0,25.0,15.0,15.0,12.0,12.0,5,4,2,2,1,1,5,5,3,4,4,2
maltese,2,54,Merle,Female,12,15,9.0,9.0,8.8,8.8,7.0,7.0,6.6,6.6,3,3,1,4,1,1,3,3,4,3,3,3
doberman pinscher,5,10,Brindle,Female,10,12,28.0,28.0,100.0,90.0,26.0,26.0,75.0,60.0,5,3,4,1,2,1,4,4,5,5,5,3
shiba inu,9,42,Tricolor,Female,13,16,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,3,3,3,2,1,1,3,3,5,2,3,3
rottweiler,4,57,Brindle,Female,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
doberman pinscher,8,35,Spotted,Male,10,12,28.0,28.0,100.0,90.0,26.0,26.0,75.0,60.0,5,3,4,1,2,1,4,4,5,5,5,3
yorkshire terrier,11,33,Brown,Male,11,15,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,5,3,1,5,1,1,5,4,5,4,4,4
boxer,14,59,Black and White,Female,10,12,25.0,25.0,80.0,65.0,23.0,23.0,65.0,50.0,5,3,2,2,3,1,4,4,4,4,4,3
cavalier king charles spaniel,2,29,Cream,Female,12,15,13.0,13.0,18.0,18.0,12.0,12.0,13.0,13.0,5,5,2,2,2,1,4,3,3,4,3,3
boxer,11,52,Cream,Male,10,12,25.0,25.0,80.0,65.0,23.0,23.0,65.0,50.0,5,3,2,2,3,1,4,4,4,4,4,3
shiba inu,7,35,Tan,Male,13,16,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,3,3,3,2,1,1,3,3,5,2,3,3
chihuahua,14,37,Brown,Female,14,16,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,1,3,2,1,1,2,2,4,4,3,4,5
havanese,4,26,Brindle,Male,14,16,11.5,11.5,13.0,13.0,8.5,8.5,7.0,7.0,5,5,2,3,1,1,5,5,3,4,3,4
shiba inu,14,45,Merle,Female,13,16,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,3,3,3,2,1,1,3,3,5,2,3,3
great dane,7,59,Brown,Male,7,10,32.0,32.0,175.0,140.0,30.0,30.0,140.0,110.0,3,3,3,1,4,1,3,4,5,3,4,3
alaskan malamute,6,35,Merle,Male,10,14,25.0,25.0,85.0,75.0,25.0,25.0,85.0,75.0,3,3,3,3,1,1,3,3,4,5,4,3
whippet,3,30,Tan,Female,12,15,22.0,22.0,40.0,40.0,19.0,19.0,25.0,25.0,5,5,2,1,1,1,3,4,3,3,4,1
irish setter,8,10,Bicolor,Male,12,15,27.0,27.0,70.0,60.0,27.0,27.0,70.0,60.0,5,5,3,3,2,1,5,5,3,4,5,3
yorkshire terrier,9,52,Tricolor,Female,11,15,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,5,3,1,5,1,1,5,4,5,4,4,4
vizsla,1,51,Black,Male,12,14,24.0,24.0,60.0,55.0,22.0,22.0,55.0,44.0,5,4,3,2,2,1,4,5,3,5,5,3
golden retriever,8,32,Black and White,Female,10,12,24.0,24.0,75.0,65.0,23.0,23.0,65.0,55.0,5,5,4,2,2,1,5,4,3,5,3,1
doberman pinscher,9,30,Sable,Female,10,12,28.0,28.0,100.0,90.0,26.0,26.0,75.0,60.0,5,3,4,1,2,1,4,4,5,5,5,3
australian shepherd,9,38,Spotted,Female,12,15,23.0,23.0,65.0,55.0,20.0,20.0,50.0,40.0,5,3,3,2,1,1,3,4,3,5,5,3
french bulldog,8,32,Merle,Male,10,12,13.0,13.0,28.0,26.0,11.0,11.0,20.0,18.0,5,4,3,1,3,1,5,5,3,4,3,1
shetland sheepdog,5,21,Brindle,Female,12,14,16.0,16.0,25.0,25.0,13.0,13.0,15.0,15.0,5,5,3,3,1,1,2,5,5,5,4,5
whippet,7,20,Spotted,Female,12,15,22.0,22.0,40.0,40.0,19.0,19.0,25.0,25.0,5,5,2,1,1,1,3,4,3,3,4,1
pekingese,10,35,Red,Female,12,14,9.0,9.0,14.0,14.0,6.0,6.0,7.0,7.0,3,3,3,3,1,1,3,4,4,3,3,1
vizsla,7,39,Tan,Male,12,14,24.0,24.0,60.0,55.0,22.0,22.0,55.0,44.0,5,4,3,2,2,1,4,5,3,5,5,3
pomeranian,9,10,Merle,Male,12,16,7.0,7.0,7.0,7.0,6.0,6.0,3.0,3.0,3,3,2,3,1,1,3,3,4,3,3,4
rottweiler,8,21,Bicolor,Male,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
rottweiler,9,43,Merle,Male,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
border collie,5,56,Black,Female,12,15,22.0,22.0,55.0,55.0,19.0,19.0,30.0,30.0,3,3,3,3,1,1,4,5,3,5,5,4
samoyed,4,33,Bicolor,Female,12,14,23.5,23.5,65.0,50.0,21.0,21.0,45.0,35.0,5,3,3,3,1,1,5,5,4,4,4,5
bernese mountain dog,1,10,Brindle,Male,7,10,27.5,27.5,115.0,95.0,25.0,25.0,80.0,70.0,5,5,5,3,3,1,4,4,3,4,4,3
border collie,5,5,Gray,Female,12,15,22.0,22.0,55.0,55.0,19.0,19.0,30.0,30.0,3,3,3,3,1,1,4,5,3,5,5,4
chinese shar-pei,9,24,White,Female,8,12,20.0,20.0,60.0,60.0,18.0,18.0,45.0,45.0,3,3,3,1,3,1,3,3,4,3,3,3
cocker spaniel,12,35,Black,Female,10,14,15.5,15.5,30.0,25.0,14.5,14.5,25.0,20.0,5,5,3,4,2,1,4,3,3,4,4,3
